observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,source_player_identity_status,player_attachment_status,player_entity_id,player_source_identity_ref,team_attachment_status,team_season_id,attachment_basis_player
player_season/2916,player_season,2024-25,,115382,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,115382,UNRESOLVED,,no existing verified Player Research closure
player_season/2917,player_season,2024-25,,440323,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,440323,UNRESOLVED,,no existing verified Player Research closure
player_season/2918,player_season,2024-25,,536241,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,536241,UNRESOLVED,,no existing verified Player Research closure
player_season/2919,player_season,2024-25,,496279,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,496279,UNRESOLVED,,no existing verified Player Research closure
player_season/2920,player_season,2024-25,,504296,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,504296,UNRESOLVED,,no existing verified Player Research closure
player_season/2921,player_season,2024-25,,80201,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,80201,UNRESOLVED,,no existing verified Player Research closure
player_season/2922,player_season,2024-25,,428971,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,428971,UNRESOLVED,,no existing verified Player Research closure
player_season/2923,player_season,2024-25,,167074,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,167074,UNRESOLVED,,no existing verified Player Research closure
player_season/2924,player_season,2024-25,,232892,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,232892,UNRESOLVED,,no existing verified Player Research closure
player_season/2925,player_season,2024-25,,174874,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,174874,UNRESOLVED,,no existing verified Player Research closure
player_season/2926,player_season,2024-25,,246301,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,246301,UNRESOLVED,,no existing verified Player Research closure
player_season/2927,player_season,2024-25,,166477,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,166477,UNRESOLVED,,no existing verified Player Research closure
player_season/2928,player_season,2024-25,,219924,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,219924,UNRESOLVED,,no existing verified Player Research closure
