observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,player_attachment_status,player_entity_id,team_attachment_status,team_season_id
team_match/21,team_match,2016-17,855184,,855184,11,VERIFIED,11,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:1
team_match/22,team_match,2016-17,855184,,855184,13,VERIFIED,11,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:20
team_match/23,team_match,2016-17,855444,,855444,3,VERIFIED,12,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:90
team_match/24,team_match,2016-17,855444,,855444,9,VERIFIED,12,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:14
team_match/25,team_match,2016-17,855182,,855182,8,VERIFIED,13,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:13
team_match/26,team_match,2016-17,855182,,855182,1,VERIFIED,13,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:3
team_match/27,team_match,2016-17,855185,,855185,14,VERIFIED,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:110
team_match/28,team_match,2016-17,855185,,855185,10,VERIFIED,14,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:43
team_match/29,team_match,2016-17,855187,,855187,16,VERIFIED,15,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:80
team_match/30,team_match,2016-17,855187,,855187,7,VERIFIED,15,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:88
team_match/31,team_match,2016-17,855188,,855188,17,VERIFIED,16,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:6
team_match/32,team_match,2016-17,855188,,855188,5,VERIFIED,16,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:31
team_match/33,team_match,2016-17,855189,,855189,18,VERIFIED,17,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:57
team_match/34,team_match,2016-17,855189,,855189,4,VERIFIED,17,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:8
team_match/35,team_match,2016-17,855190,,855190,19,VERIFIED,18,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:35
team_match/36,team_match,2016-17,855190,,855190,6,VERIFIED,18,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:11
team_match/37,team_match,2016-17,855186,,855186,15,VERIFIED,19,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2016-17:56
