field_name,grain,resource,identity_contract
tacklesLost,player_season,player_season,source_player_identity_to_player_season
tacklesWon,player_season,player_season,source_player_identity_to_player_season
team_id,player_season,player_season,source_player_identity_to_player_season
team_name,player_season,player_season,source_player_identity_to_player_season
throughBalls,player_season,player_season,source_player_identity_to_player_season
throwInsToOppositionPlayer,player_season,player_season,source_player_identity_to_player_season
throwInsToOwnPlayer,player_season,player_season,source_player_identity_to_player_season
timePlayed,player_season,player_season,source_player_identity_to_player_season
timesTackled,player_season,player_season,source_player_identity_to_player_season
totalClearances,player_season,player_season,source_player_identity_to_player_season
totalFoulsConceded,player_season,player_season,source_player_identity_to_player_season
totalFoulsWon,player_season,player_season,source_player_identity_to_player_season
totalLossesOfPossession,player_season,player_season,source_player_identity_to_player_season
totalPasses,player_season,player_season,source_player_identity_to_player_season
totalRedCards,player_season,player_season,source_player_identity_to_player_season
totalShots,player_season,player_season,source_player_identity_to_player_season
totalTackles,player_season,player_season,source_player_identity_to_player_season
totalTouchesInOppositionBox,player_season,player_season,source_player_identity_to_player_season
totalUnsuccessfulPassesExclCrossesAndCorners,player_season,player_season,source_player_identity_to_player_season
touches,player_season,player_season,source_player_identity_to_player_season
unsuccessfulCornersIntoBox,player_season,player_season,source_player_identity_to_player_season
unsuccessfulCrossesAndCorners,player_season,player_season,source_player_identity_to_player_season
unsuccessfulCrossesOpenPlay,player_season,player_season,source_player_identity_to_player_season
unsuccessfulDribbles,player_season,player_season,source_player_identity_to_player_season
unsuccessfulLaunches,player_season,player_season,source_player_identity_to_player_season
unsuccessfulLayoffs,player_season,player_season,source_player_identity_to_player_season
unsuccessfulLongPasses,player_season,player_season,source_player_identity_to_player_season
unsuccessfulPassesOwnHalf,player_season,player_season,source_player_identity_to_player_season
unsuccessfulShortPasses,player_season,player_season,source_player_identity_to_player_season
winningGoal,player_season,player_season,source_player_identity_to_player_season
yellowCards,player_season,player_season,source_player_identity_to_player_season
age,squad,squad,
birthCountry,squad,squad,
birthDate,squad,squad,
displayName,squad,squad,
firstName,squad,squad,
height_cm,squad,squad,
isoCode,squad,squad,
joinDate,squad,squad,
lastName,squad,squad,
nationality,squad,squad,
onLoan,squad,squad,
playerId,squad,squad,
position,squad,squad,
preferredFoot,squad,squad,
shirtNumber,squad,squad,
weight_kg,squad,squad,
accurateBackZonePass,team_match,team_match,canonical_team_season_to_source_team
accurateChippedPass,team_match,team_match,canonical_team_season_to_source_team
accurateCornersIntobox,team_match,team_match,canonical_team_season_to_source_team
accurateCross,team_match,team_match,canonical_team_season_to_source_team
accurateCrossNocorner,team_match,team_match,canonical_team_season_to_source_team
accurateFlickOn,team_match,team_match,canonical_team_season_to_source_team
accurateFreekickCross,team_match,team_match,canonical_team_season_to_source_team
accurateFwdZonePass,team_match,team_match,canonical_team_season_to_source_team
accurateGoalKicks,team_match,team_match,canonical_team_season_to_source_team
accurateKeeperSweeper,team_match,team_match,canonical_team_season_to_source_team
accurateKeeperThrows,team_match,team_match,canonical_team_season_to_source_team
accurateLaunches,team_match,team_match,canonical_team_season_to_source_team
accurateLayoffs,team_match,team_match,canonical_team_season_to_source_team
accurateLongBalls,team_match,team_match,canonical_team_season_to_source_team
accuratePass,team_match,team_match,canonical_team_season_to_source_team
accuratePullBack,team_match,team_match,canonical_team_season_to_source_team
accurateThroughBall,team_match,team_match,canonical_team_season_to_source_team
accurateThrows,team_match,team_match,canonical_team_season_to_source_team
aerialLost,team_match,team_match,canonical_team_season_to_source_team
aerialWon,team_match,team_match,canonical_team_season_to_source_team
attAssistOpenplay,team_match,team_match,canonical_team_season_to_source_team
attAssistSetplay,team_match,team_match,canonical_team_season_to_source_team
attCorner,team_match,team_match,canonical_team_season_to_source_team
attFastbreak,team_match,team_match,canonical_team_season_to_source_team
attFreekickGoal,team_match,team_match,canonical_team_season_to_source_team
attFreekickMiss,team_match,team_match,canonical_team_season_to_source_team
attFreekickPost,team_match,team_match,canonical_team_season_to_source_team
attFreekickTarget,team_match,team_match,canonical_team_season_to_source_team
attFreekickTotal,team_match,team_match,canonical_team_season_to_source_team
attIboxOwnGoal,team_match,team_match,canonical_team_season_to_source_team
attLgCentre,team_match,team_match,canonical_team_season_to_source_team
attLgLeft,team_match,team_match,canonical_team_season_to_source_team
attLgRight,team_match,team_match,canonical_team_season_to_source_team
attOboxOwnGoal,team_match,team_match,canonical_team_season_to_source_team
attObxdLeft,team_match,team_match,canonical_team_season_to_source_team
attObxdRight,team_match,team_match,canonical_team_season_to_source_team
attOneOnOne,team_match,team_match,canonical_team_season_to_source_team
attOpenplay,team_match,team_match,canonical_team_season_to_source_team
attPenGoal,team_match,team_match,canonical_team_season_to_source_team
attPenMiss,team_match,team_match,canonical_team_season_to_source_team
attPenPost,team_match,team_match,canonical_team_season_to_source_team
attPenTarget,team_match,team_match,canonical_team_season_to_source_team
attPostHigh,team_match,team_match,canonical_team_season_to_source_team
attPostLeft,team_match,team_match,canonical_team_season_to_source_team
attPostRight,team_match,team_match,canonical_team_season_to_source_team
attSetpiece,team_match,team_match,canonical_team_season_to_source_team
