grain,season,fixture_id,source_match_id,venue_role,source_team_id,team_season_id,fixture_attachment_status,team_attachment_status
team_match,2016-17,27,855199,AWAY,9,2016-17:14,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,28,855200,HOME,18,2016-17:57,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,28,855200,AWAY,1,2016-17:3,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,29,855197,HOME,10,2016-17:43,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,29,855197,AWAY,20,2016-17:21,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,30,855201,HOME,19,2016-17:35,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,30,855201,AWAY,12,2016-17:25,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,31,855203,HOME,1,2016-17:3,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,31,855203,AWAY,13,2016-17:20,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,32,855202,HOME,2,2016-17:91,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,32,855202,AWAY,19,2016-17:35,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,33,855204,HOME,3,2016-17:90,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,33,855204,AWAY,7,2016-17:88,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,34,855205,HOME,9,2016-17:14,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,34,855205,AWAY,8,2016-17:13,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,35,855206,HOME,11,2016-17:1,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,35,855206,AWAY,10,2016-17:43,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,36,855207,HOME,12,2016-17:25,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,36,855207,AWAY,5,2016-17:31,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,37,855208,HOME,14,2016-17:110,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
