grain,season,source_player_id,player_attachment_status,frl_player_identity_status,player_season_source_name
player_season,2020-21,103914,UNRESOLVED,,Charlie Taylor
player_season,2020-21,17761,UNRESOLVED,,James Tarkowski
player_season,2020-21,51927,UNRESOLVED,,Ben Mee
player_season,2020-21,39487,UNRESOLVED,,Erik Pieters
player_season,2020-21,17997,UNRESOLVED,,Phil Bardsley
player_season,2020-21,41674,UNRESOLVED,,Kevin Long
player_season,2020-21,184259,UNRESOLVED,,Richard Nartey
player_season,2020-21,218023,UNRESOLVED,,Jimmy Dunne
player_season,2020-21,195471,UNRESOLVED,,Anthony Glennon
player_season,2020-21,40145,UNRESOLVED,,Jack Cork
player_season,2020-21,60586,UNRESOLVED,,Jóhann Gudmundsson
player_season,2020-21,172782,UNRESOLVED,,Josh Brownhill
player_season,2020-21,433154,UNRESOLVED,,Dwight McNeil
player_season,2020-21,90517,UNRESOLVED,,Robert Brady
player_season,2020-21,40845,UNRESOLVED,,Dale Stephens
player_season,2020-21,60551,UNRESOLVED,,Ashley Westwood
player_season,2020-21,465299,UNRESOLVED,,Anthony Mancini
player_season,2020-21,461096,UNRESOLVED,,Lewis Richardson
player_season,2020-21,217401,UNRESOLVED,,Josh Benson
player_season,2020-21,60689,UNRESOLVED,,Chris Wood
player_season,2020-21,44699,UNRESOLVED,,Ashley Barnes
player_season,2020-21,44683,UNRESOLVED,,Jay Rodriguez
player_season,2020-21,81183,UNRESOLVED,,Matej Vydra
player_season,2020-21,461450,UNRESOLVED,,Max Thompson
player_season,2020-21,430367,UNRESOLVED,,Joel Mumbongo
player_season,2020-21,105666,UNRESOLVED,,Jack Butland
player_season,2020-21,20066,UNRESOLVED,,Wayne Hennessey
player_season,2020-21,42525,UNRESOLVED,,Stephen Henderson
player_season,2020-21,40836,UNRESOLVED,,Vicente Guaita
player_season,2020-21,55494,UNRESOLVED,,Joel Ward
player_season,2020-21,74230,UNRESOLVED,,Patrick van Aanholt
player_season,2020-21,49413,UNRESOLVED,,James Tomkins
player_season,2020-21,19188,UNRESOLVED,,Scott Dann
player_season,2020-21,40784,UNRESOLVED,,Mamadou Sakho
player_season,2020-21,57328,UNRESOLVED,,Nathaniel Clyne
player_season,2020-21,19419,UNRESOLVED,,Gary Cahill
player_season,2020-21,244723,UNRESOLVED,,Tyrick Mitchell
player_season,2020-21,58786,UNRESOLVED,,Martin Kelly
player_season,2020-21,221272,UNRESOLVED,,Sam Woods
player_season,2020-21,223824,UNRESOLVED,,Reece Hannam
player_season,2020-21,66975,UNRESOLVED,,Luka Milivojevic
player_season,2020-21,55037,UNRESOLVED,,Cheikhou Kouyaté
player_season,2020-21,60252,UNRESOLVED,,Andros Townsend
player_season,2020-21,86417,UNRESOLVED,,Jeffrey Schlupp
player_season,2020-21,50471,UNRESOLVED,,James McArthur
player_season,2020-21,50472,UNRESOLVED,,James McCarthy
player_season,2020-21,232413,UNRESOLVED,,Eberechi Eze
player_season,2020-21,450542,UNRESOLVED,,Jesurun Rak-Sakyi
player_season,2020-21,173954,UNRESOLVED,,Jairo Riedewald
player_season,2020-21,80146,UNRESOLVED,,Jordan Ayew
player_season,2020-21,82403,UNRESOLVED,,Wilfried Zaha
player_season,2020-21,231747,UNRESOLVED,,Jean-Philippe Mateta
player_season,2020-21,54861,UNRESOLVED,,Christian Benteke
player_season,2020-21,59125,UNRESOLVED,,Connor Wickham
player_season,2020-21,94245,UNRESOLVED,,Michy Batshuayi
player_season,2020-21,109745,UNRESOLVED,,Kepa Arrizabalaga
player_season,2020-21,20310,UNRESOLVED,,Willy Caballero
player_season,2020-21,228286,UNRESOLVED,,Édouard Mendy
player_season,2020-21,431019,UNRESOLVED,,Karlo Ziger
player_season,2020-21,102380,UNRESOLVED,,Antonio Rüdiger
player_season,2020-21,82263,UNRESOLVED,,Marcos Alonso
player_season,2020-21,135363,UNRESOLVED,,Andreas Christensen
player_season,2020-21,51090,UNRESOLVED,,Thiago Silva
player_season,2020-21,103192,UNRESOLVED,,Kurt Zouma
player_season,2020-21,172850,UNRESOLVED,,Ben Chilwell
player_season,2020-21,225796,UNRESOLVED,,Reece James
player_season,2020-21,41328,UNRESOLVED,,César Azpilicueta
player_season,2020-21,109533,UNRESOLVED,,Emerson
player_season,2020-21,441191,UNRESOLVED,,Tino Livramento
player_season,2020-21,85955,UNRESOLVED,,Jorginho
player_season,2020-21,116594,UNRESOLVED,,N'Golo Kanté
player_season,2020-21,176413,UNRESOLVED,,Christian Pulisic
player_season,2020-21,91651,UNRESOLVED,,Mateo Kovacic
player_season,2020-21,184341,UNRESOLVED,,Mason Mount
player_season,2020-21,124183,UNRESOLVED,,Hakim Ziyech
player_season,2020-21,243568,UNRESOLVED,,Billy Gilmour
player_season,2020-21,219847,UNRESOLVED,,Kai Havertz
player_season,2020-21,223332,UNRESOLVED,,Tino Anjorin
player_season,2020-21,173879,UNRESOLVED,,Tammy Abraham
