season,canonical_fixture_id,source_match_id,source_pulse_fixture_id,expected_goal_count,observed_goal_count,goal_count_match,source_event_id,source_event_type,source_event_seconds,source_event_time_label,source_event_text,source_scorer_name,source_scorer_team,source_scorer_id,source_assist_ids,source_fixture_home,source_fixture_away,source_fixture_home_score,source_fixture_away_score,source_url,retrieved_at_utc
2016-17,8,855173,14040,7,7,true,105012,goal,3753,63,"Goal!  Arsenal 1, Liverpool 4. Sadio Mané (Liverpool) left footed shot from the right side of the box to the top left corner. Assisted by Adam Lallana.",Sadio Mané,Liverpool,6519,4618,,,3,4,https://footballapi.pulselive.com/football/fixtures/14040/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:42.009681Z
2016-17,8,855173,14040,7,7,true,104997,goal,3311,56,"Goal!  Arsenal 1, Liverpool 3. Philippe Coutinho (Liverpool) left footed shot from the centre of the box to the centre of the goal. Assisted by Nathaniel Clyne with a cross.",Philippe Coutinho,Liverpool,4525,4604,,,3,4,https://footballapi.pulselive.com/football/fixtures/14040/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:42.009681Z
2016-17,8,855173,14040,7,7,true,104995,goal,2911,49,"Goal!  Arsenal 1, Liverpool 2. Adam Lallana (Liverpool) right footed shot from the right side of the box to the centre of the goal. Assisted by Georginio Wijnaldum.",Adam Lallana,Liverpool,4618,7114,,,3,4,https://footballapi.pulselive.com/football/fixtures/14040/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:42.009681Z
2016-17,8,855173,14040,7,7,true,104988,goal,2759,45+1,"Goal!  Arsenal 1, Liverpool 1. Philippe Coutinho (Liverpool) from a free kick with a right footed shot to the top left corner.",Philippe Coutinho,Liverpool,4525,,,,3,4,https://footballapi.pulselive.com/football/fixtures/14040/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:42.009681Z
2016-17,8,855173,14040,7,7,true,104965,goal,1811,31,"Goal!  Arsenal 1, Liverpool 0. Theo Walcott (Arsenal) right footed shot from the right side of the box to the bottom left corner. Assisted by Alex Iwobi.",Theo Walcott,Arsenal,2839,4717,,,3,4,https://footballapi.pulselive.com/football/fixtures/14040/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:42.009681Z
2016-17,9,855172,14041,4,4,true,104894,goal,4099,69,"Goal!  Bournemouth 1, Manchester United 3. Adam Smith (Bournemouth) left footed shot from the centre of the box to the top right corner. Assisted by Lewis Grabban.",Adam Smith,Bournemouth,3512,8055,,,1,3,https://footballapi.pulselive.com/football/fixtures/14041/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:42.780231Z
2016-17,9,855172,14041,4,4,true,104889,goal,3800,64,"Goal!  Bournemouth 0, Manchester United 3. Zlatan Ibrahimovic (Manchester United) right footed shot from outside the box to the bottom left corner. Assisted by Anthony Martial.",Zlatan Ibrahimovic,Manchester United,5772,11272,,,1,3,https://footballapi.pulselive.com/football/fixtures/14041/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:42.780231Z
2016-17,9,855172,14041,4,4,true,104883,goal,3523,59,"Goal!  Bournemouth 0, Manchester United 2. Wayne Rooney (Manchester United) header from the right side of the six yard box to the bottom left corner. Assisted by Anthony Martial.",Wayne Rooney,Manchester United,2064,11272,,,1,3,https://footballapi.pulselive.com/football/fixtures/14041/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:42.780231Z
2016-17,9,855172,14041,4,4,true,104871,goal,2385,40,"Goal!  Bournemouth 0, Manchester United 1. Juan Mata (Manchester United) right footed shot from the left side of the six yard box to the bottom left corner.",Juan Mata,Manchester United,4287,,,,1,3,https://footballapi.pulselive.com/football/fixtures/14041/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:42.780231Z
2016-17,10,855175,14043,3,3,true,105188,goal,5323,89,"Goal!  Chelsea 2, West Ham United 1. Diego Costa (Chelsea) right footed shot from outside the box to the bottom left corner. Assisted by Michy Batshuayi with a headed pass.",Diego Costa,Chelsea,4941,7450,,,2,1,https://footballapi.pulselive.com/football/fixtures/14043/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:43.617459Z
