grain,season,fixture_id,source_player_id,team_season_id,persistent_team_code,original_status,crossseason_fpl_candidates,crossseason_status
player_match,2016-17,2,36466,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,2,41631,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,2,50027,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,2,111962,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,2,151037,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,2,817559,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,2,839819,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,2,843765,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,544,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,1941,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,3593,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,9692,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,9766,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,10507,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,12790,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,39283,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,46432,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,93796,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,96372,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,98435,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,106337,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,109064,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,198030,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,252313,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,781544,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,795058,2016-17:1,1,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,9048,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,16586,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,16921,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,16944,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,44567,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,44575,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,44614,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,45956,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,94758,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,105734,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,108579,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,122702,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,146101,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,198028,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,339901,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,361332,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,545780,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,3,795972,2016-17:11,11,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,4387,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,9003,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,9127,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,9689,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,10281,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,29301,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,32787,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,34578,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,43247,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,43442,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,48547,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,74440,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,262911,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,552884,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,788980,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,830238,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,846026,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,846028,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,1076,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,1262,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,19303,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,20375,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,30502,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,30530,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,41615,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,47737,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,52691,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,54330,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,139502,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,158213,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,173827,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,260097,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,308526,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,309648,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,355152,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,4,802695,2016-17:20,20,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,532,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,1053,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,11781,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,11796,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,11869,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,13630,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,16817,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,17094,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,24048,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,26097,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,41837,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,52741,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,70996,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,74915,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,123977,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,138534,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,5,152077,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
