season,source_player_id,forward_passes
2016-17,1616,
2016-17,1632,522.0
2016-17,1718,102.0
2016-17,1801,99.0
2016-17,1822,111.0
2016-17,2404,448.0
2016-17,3201,
2016-17,3736,280.0
2016-17,3773,141.0
2016-17,5288,
2016-17,6744,748.0
2016-17,7525,101.0
2016-17,7551,17.0
2016-17,7645,479.0
2016-17,7906,455.0
2016-17,7958,91.0
2016-17,8380,268.0
2016-17,9047,340.0
2016-17,9089,1048.0
2016-17,9110,32.0
2016-17,9808,245.0
2016-17,10318,397.0
2016-17,10460,101.0
2016-17,11334,653.0
2016-17,11467,339.0
2016-17,11554,
2016-17,11829,183.0
2016-17,11974,527.0
2016-17,12002,240.0
2016-17,12086,
2016-17,12150,472.0
2016-17,12413,338.0
2016-17,12496,750.0
2016-17,12679,300.0
2016-17,12745,495.0
2016-17,12813,117.0
2016-17,13017,141.0
2016-17,13152,198.0
2016-17,14295,452.0
2016-17,14664,454.0
2016-17,15033,375.0
2016-17,15109,406.0
2016-17,15114,217.0
2016-17,15144,366.0
2016-17,15149,652.0
2016-17,15157,964.0
2016-17,15237,373.0
2016-17,15276,214.0
2016-17,15633,
2016-17,15749,
2016-17,15885,44.0
2016-17,15944,10.0
2016-17,15982,224.0
2016-17,16045,8.0
2016-17,17127,3.0
2016-17,17336,530.0
2016-17,17339,513.0
2016-17,17349,40.0
2016-17,17476,204.0
2016-17,17740,145.0
2016-17,17745,819.0
2016-17,17761,124.0
2016-17,17878,533.0
2016-17,17997,184.0
2016-17,18008,200.0
2016-17,18073,467.0
2016-17,18155,35.0
2016-17,18507,193.0
2016-17,18656,847.0
2016-17,18726,684.0
2016-17,18759,35.0
2016-17,18805,184.0
2016-17,18892,138.0
2016-17,18987,257.0
2016-17,19057,212.0
2016-17,19101,
2016-17,19115,342.0
2016-17,19151,404.0
2016-17,19159,744.0
2016-17,19188,274.0
2016-17,19197,507.0
2016-17,19272,420.0
2016-17,19419,781.0
2016-17,19524,170.0
2016-17,19568,30.0
2016-17,19760,176.0
2016-17,20037,134.0
2016-17,20046,68.0
2016-17,20047,8.0
2016-17,20066,753.0
2016-17,20145,113.0
2016-17,20208,374.0
2016-17,20310,229.0
2016-17,20399,426.0
2016-17,20452,46.0
2016-17,20467,167.0
2016-17,20487,203.0
2016-17,20658,193.0
2016-17,20664,629.0
2016-17,20695,401.0
2016-17,21083,29.0
2016-17,21123,256.0
2016-17,21205,1069.0
2016-17,21246,5.0
2016-17,26719,
2016-17,26901,175.0
2016-17,26921,4.0
2016-17,27334,5.0
2016-17,27341,344.0
2016-17,27707,144.0
2016-17,27789,735.0
2016-17,28244,178.0
2016-17,28448,113.0
2016-17,28468,26.0
2016-17,28541,9.0
2016-17,28554,4.0
2016-17,28593,97.0
2016-17,28654,217.0
2016-17,32259,556.0
2016-17,32318,40.0
2016-17,33148,375.0
2016-17,33871,320.0
2016-17,37096,738.0
2016-17,37265,516.0
2016-17,37339,533.0
2016-17,37388,19.0
2016-17,37402,700.0
2016-17,37572,155.0
2016-17,37605,590.0
2016-17,37642,396.0
2016-17,37742,390.0
2016-17,37748,258.0
2016-17,37869,525.0
2016-17,37915,598.0
2016-17,38038,
2016-17,38290,349.0
2016-17,38411,716.0
2016-17,38419,13.0
2016-17,38439,361.0
2016-17,38454,807.0
2016-17,38580,713.0
2016-17,39104,355.0
2016-17,39155,414.0
2016-17,39158,247.0
2016-17,39167,257.0
2016-17,39187,8.0
2016-17,39194,858.0
2016-17,39215,78.0
2016-17,39472,53.0
2016-17,39487,550.0
2016-17,39847,147.0
2016-17,40002,233.0
2016-17,40142,123.0
2016-17,40145,399.0
2016-17,40146,525.0
2016-17,40202,356.0
2016-17,40276,41.0
2016-17,40349,27.0
2016-17,40383,741.0
2016-17,40387,273.0
2016-17,40399,243.0
2016-17,40555,344.0
2016-17,40616,560.0
2016-17,40669,350.0
2016-17,40725,572.0
2016-17,40755,60.0
2016-17,40784,100.0
2016-17,40833,29.0
2016-17,40868,571.0
2016-17,41184,301.0
2016-17,41251,
2016-17,41270,596.0
2016-17,41320,585.0
2016-17,41321,102.0
2016-17,41328,1036.0
2016-17,41338,145.0
2016-17,41464,218.0
2016-17,41674,52.0
2016-17,41705,271.0
2016-17,41725,259.0
2016-17,41733,436.0
2016-17,41792,219.0
2016-17,41823,43.0
2016-17,41945,472.0
2016-17,42427,119.0
2016-17,42593,635.0
2016-17,42738,129.0
2016-17,42774,257.0
2016-17,42786,406.0
2016-17,42892,199.0
2016-17,42899,44.0
2016-17,42996,237.0
2016-17,43191,352.0
2016-17,43250,266.0
2016-17,43626,160.0
2016-17,43670,175.0
2016-17,43693,15.0
2016-17,44302,125.0
2016-17,44336,111.0
2016-17,44343,17.0
2016-17,44346,70.0
2016-17,44413,208.0
2016-17,44604,204.0
2016-17,44683,60.0
2016-17,44699,187.0
2016-17,45076,392.0
2016-17,45124,116.0
2016-17,45268,108.0
2016-17,47431,192.0
2016-17,48615,561.0
2016-17,48717,387.0
2016-17,48844,32.0
2016-17,49013,334.0
2016-17,49195,29.0
2016-17,49207,70.0
2016-17,49277,340.0
2016-17,49384,197.0
2016-17,49413,333.0
2016-17,49438,18.0
2016-17,49440,39.0
2016-17,49464,107.0
2016-17,49539,682.0
2016-17,49579,198.0
2016-17,49688,161.0
2016-17,49696,9.0
2016-17,49944,573.0
2016-17,49957,79.0
2016-17,50089,338.0
2016-17,50175,34.0
2016-17,50229,165.0
2016-17,50471,227.0
2016-17,50472,90.0
2016-17,51507,632.0
2016-17,51927,548.0
2016-17,51934,241.0
2016-17,51938,399.0
2016-17,51940,714.0
2016-17,52153,551.0
2016-17,52287,76.0
2016-17,52538,86.0
2016-17,52940,264.0
2016-17,53371,160.0
2016-17,54102,278.0
2016-17,54316,65.0
2016-17,54469,433.0
2016-17,54756,509.0
2016-17,54771,335.0
2016-17,54861,272.0
2016-17,54908,189.0
2016-17,55037,374.0
2016-17,55317,209.0
2016-17,55422,323.0
2016-17,55452,104.0
2016-17,55459,323.0
2016-17,55494,667.0
2016-17,55605,586.0
2016-17,55829,279.0
2016-17,55909,119.0
2016-17,56192,95.0
2016-17,56827,30.0
2016-17,56864,341.0
2016-17,56872,187.0
2016-17,56917,647.0
2016-17,56979,584.0
2016-17,57001,52.0
2016-17,57134,155.0
2016-17,57145,575.0
2016-17,57187,
2016-17,57249,177.0
2016-17,57328,630.0
2016-17,57410,753.0
2016-17,57531,177.0
2016-17,57586,18.0
2016-17,57736,79.0
2016-17,58376,
2016-17,58621,522.0
2016-17,58786,318.0
2016-17,58791,96.0
2016-17,58822,571.0
2016-17,58877,461.0
2016-17,58893,398.0
2016-17,59044,422.0
2016-17,59125,28.0
2016-17,59741,16.0
2016-17,59779,345.0
2016-17,59796,8.0
2016-17,59846,602.0
2016-17,59856,54.0
2016-17,59859,126.0
2016-17,59949,337.0
2016-17,60165,84.0
2016-17,60232,575.0
2016-17,60252,225.0
2016-17,60551,97.0
2016-17,60586,79.0
2016-17,60706,350.0
2016-17,60772,496.0
2016-17,60914,631.0
2016-17,61302,22.0
2016-17,61366,588.0
2016-17,61548,23.0
2016-17,61566,96.0
2016-17,61595,123.0
2016-17,61603,637.0
2016-17,61604,
2016-17,61760,8.0
2016-17,61858,136.0
2016-17,62398,583.0
2016-17,62399,330.0
2016-17,62974,68.0
2016-17,63370,92.0
2016-17,66749,256.0
2016-17,66797,572.0
2016-17,66975,171.0
2016-17,67527,349.0
2016-17,68312,183.0
2016-17,68983,550.0
2016-17,69140,708.0
2016-17,69960,46.0
2016-17,73426,61.0
2016-17,73889,6.0
2016-17,74033,433.0
2016-17,74208,686.0
2016-17,74230,391.0
2016-17,75115,33.0
2016-17,75773,49.0
2016-17,75880,155.0
2016-17,76359,235.0
2016-17,76542,152.0
2016-17,77454,122.0
2016-17,77762,235.0
2016-17,77794,115.0
2016-17,78007,138.0
2016-17,78056,678.0
2016-17,78091,181.0
2016-17,78315,471.0
2016-17,78356,66.0
2016-17,78412,105.0
2016-17,78830,161.0
2016-17,79228,43.0
2016-17,80146,39.0
2016-17,80179,289.0
2016-17,80254,13.0
2016-17,80447,457.0
2016-17,80607,595.0
2016-17,80789,248.0
2016-17,80801,583.0
2016-17,80935,355.0
2016-17,81061,
2016-17,81880,209.0
2016-17,82257,
2016-17,82263,416.0
2016-17,82403,180.0
2016-17,82428,419.0
2016-17,82771,53.0
2016-17,83091,27.0
2016-17,83283,248.0
2016-17,83312,671.0
2016-17,83314,291.0
2016-17,84395,
2016-17,84450,656.0
2016-17,84583,415.0
2016-17,85017,
2016-17,85352,420.0
2016-17,85624,117.0
2016-17,85654,172.0
2016-17,85971,150.0
2016-17,86173,84.0
2016-17,86417,175.0
2016-17,86881,36.0
2016-17,86934,404.0
2016-17,87447,
2016-17,88498,52.0
2016-17,88894,439.0
2016-17,88900,283.0
2016-17,89085,33.0
2016-17,90105,156.0
2016-17,90263,12.0
2016-17,90517,94.0
2016-17,90714,58.0
2016-17,91126,11.0
2016-17,91972,30.0
2016-17,91979,64.0
2016-17,92217,360.0
2016-17,92293,70.0
2016-17,93264,730.0
2016-17,93464,311.0
2016-17,94245,13.0
2016-17,94924,37.0
2016-17,94926,
2016-17,95508,
2016-17,95658,558.0
2016-17,96305,109.0
2016-17,96306,203.0
2016-17,96764,90.0
2016-17,97032,404.0
2016-17,97296,
2016-17,97299,443.0
2016-17,97485,102.0
2016-17,97615,156.0
2016-17,98745,370.0
2016-17,98747,
2016-17,98980,25.0
2016-17,99323,90.0
2016-17,100059,66.0
2016-17,101178,268.0
2016-17,101179,
2016-17,101184,484.0
2016-17,101668,103.0
2016-17,102738,105.0
2016-17,103025,322.0
2016-17,103192,43.0
2016-17,103912,77.0
2016-17,103955,218.0
2016-17,104542,166.0
2016-17,105666,116.0
2016-17,105717,173.0
2016-17,106449,7.0
2016-17,106603,27.0
2016-17,106611,552.0
2016-17,106617,22.0
2016-17,106760,150.0
2016-17,107265,
2016-17,108823,349.0
2016-17,109322,146.0
2016-17,109528,179.0
2016-17,109646,
2016-17,110979,297.0
2016-17,111234,855.0
2016-17,111787,72.0
2016-17,111847,64.0
2016-17,112316,
2016-17,112338,471.0
2016-17,112507,
2016-17,112520,
2016-17,113534,
2016-17,113564,212.0
2016-17,113688,51.0
2016-17,114000,29.0
2016-17,114093,30.0
2016-17,115357,
2016-17,115556,412.0
2016-17,115854,62.0
2016-17,116594,593.0
2016-17,120447,34.0
2016-17,121221,313.0
2016-17,121599,183.0
2016-17,122798,460.0
2016-17,123125,27.0
2016-17,126184,181.0
2016-17,126187,4.0
2016-17,128198,157.0
2016-17,130103,
2016-17,132015,284.0
2016-17,133801,4.0
2016-17,134383,
2016-17,138009,2.0
2016-17,144660,246.0
2016-17,147675,
2016-17,148179,68.0
2016-17,148225,139.0
2016-17,149016,31.0
2016-17,149051,
2016-17,149266,531.0
2016-17,149484,124.0
2016-17,149828,90.0
2016-17,152760,60.0
2016-17,153133,219.0
2016-17,153256,149.0
2016-17,153366,11.0
2016-17,153373,143.0
2016-17,153379,17.0
2016-17,153673,5.0
2016-17,153682,
2016-17,154043,1.0
2016-17,154050,
2016-17,154051,1.0
2016-17,154566,
2016-17,154976,117.0
2016-17,155408,76.0
2016-17,155509,
2016-17,155569,237.0
2016-17,155851,23.0
2016-17,156074,212.0
2016-17,156658,
2016-17,156660,
2016-17,156686,
2016-17,156690,4.0
2016-17,157665,2.0
2016-17,157668,95.0
2016-17,158074,336.0
2016-17,158544,
2016-17,159506,4.0
2016-17,159533,107.0
2016-17,160729,224.0
2016-17,160816,103.0
2016-17,160817,38.0
2016-17,163526,109.0
2016-17,165911,
2016-17,165990,36.0
2016-17,167767,8.0
2016-17,167789,1.0
2016-17,168196,21.0
2016-17,168287,43.0
2016-17,168566,5.0
2016-17,168717,
2016-17,168763,
2016-17,168765,4.0
2016-17,169061,
2016-17,169187,28.0
2016-17,169359,80.0
2016-17,169432,8.0
2016-17,169527,
2016-17,169535,
2016-17,170851,
2016-17,171277,16.0
2016-17,171287,
2016-17,172632,100.0
2016-17,172850,139.0
2016-17,173514,29.0
2016-17,173515,39.0
2016-17,173792,
2016-17,173807,215.0
2016-17,173809,3.0
2016-17,176295,
2016-17,176296,15.0
2016-17,176297,95.0
2016-17,177815,23.0
2016-17,178186,20.0
2016-17,178304,14.0
2016-17,178871,14.0
2016-17,179261,
2016-17,179596,
2016-17,179725,
2016-17,180804,42.0
2016-17,182156,103.0
2016-17,182436,5.0
2016-17,182960,
2016-17,183487,
2016-17,185056,
2016-17,191769,1.0
2016-17,192182,
2016-17,192290,
2016-17,194164,254.0
2016-17,195473,
2016-17,195480,
2016-17,195851,12.0
2016-17,195859,
2016-17,195864,24.0
2016-17,197365,320.0
2016-17,198044,
2016-17,200455,
2016-17,200617,
2016-17,201084,11.0
2016-17,202174,
2016-17,203341,258.0
2016-17,204216,
2016-17,204480,2.0
2016-17,204760,
2016-17,204819,
2016-17,205102,70.0
2016-17,205135,
2016-17,205651,43.0
2016-17,207725,1.0
2016-17,208987,
2016-17,209041,4.0
2016-17,209212,
2016-17,210237,6.0
2016-17,213384,
2016-17,214590,
2016-17,215457,
2016-17,215885,
2016-17,216058,
2016-17,217331,
2016-17,219352,19.0
2016-17,219727,
2016-17,220650,
2016-17,221267,52.0
2016-17,221268,
2016-17,221271,
2016-17,221275,
2016-17,221286,
2016-17,221568,
2016-17,224946,6.0
2016-17,225321,
2016-17,231172,14.0
2016-17,232427,
2016-17,234483,12.0
2016-17,240499,
