"source_surface","resource","grain","field_name","canonical_attachment","relationship_kind","identity_contract","source_identity_required","relationship_note","player_route","player_contract","fixture_route","fixture_contract","team_route","team_contract","route_status","attachment_verified"
"FRL_LOCAL_CSV","player_match","player_match","challengeLost","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","clearanceOffLine","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","crossNotClaimed","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","dispossessed","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","duelLost","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","duelWon","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","errorLeadToAGoal","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","errorLeadToAShot","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","expectedAssists","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","expectedGoals","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","expectedGoalsOnTarget","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","fouls","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","gameweek","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","goalAssist","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","goals","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","goalsPrevented","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","goodHighClaim","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","hitWoodwork","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","interceptionWon","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
"FRL_LOCAL_CSV","player_match","player_match","keyPass","player_fixture","OBSERVATION","player_identity_to_player_match_observations","True","Player-match observations require verified player and fixture identity.","PLAYER_IDENTITY_TO_PLAYER_MATCH","player_identity_to_player_match_observations","CANONICAL_FIXTURE_TO_SOURCE_MATCH","canonical_fixture_to_source_match","","","EXPLICIT_SOURCE_GRAIN_ROUTE","NOT_YET_PROVEN"
