source_surface,resource,grain,field_name,field_type,status,statuses_seen,types_seen,notes,canonical_attachment,relationship_kind,identity_contract,source_identity_required,relationship_note,player_route,fixture_route,team_route,route_status,attachment_verified
FRL_LOCAL_CSV,player_match,player_match,gameweek,unknown,exposed,exposed,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,goalAssist,unknown,exposed,exposed,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,goals,unknown,exposed,exposed,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,goalsPrevented,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=LONG_RUN; seasons=5/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,goodHighClaim,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,hitWoodwork,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,interceptionWon,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,keyPass,unknown,exposed,exposed,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,lastManTackle,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,matchId,unknown,exposed,exposed,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,metersCoveredHighSpeedRunningKm,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=SINGLE_SEASON; seasons=1/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,metersCoveredJoggingKm,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=SINGLE_SEASON; seasons=1/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,metersCoveredRunningKm,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=SINGLE_SEASON; seasons=1/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,metersCoveredSprintingKm,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=SINGLE_SEASON; seasons=1/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,metersCoveredWalkingKm,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=SINGLE_SEASON; seasons=1/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,minutesPlayed,unknown,exposed,exposed,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,onTargetScoringAttempt,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,outfielderBlock,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,ownGoals,unknown,exposed,exposed,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,penaltyConceded,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,penaltyFaced,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,penaltyMiss,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
FRL_LOCAL_CSV,player_match,player_match,penaltySave,unknown,UNCATALOGUED,UNCATALOGUED,unknown,coverage=CORE_DECADE; seasons=10/10,player_fixture,OBSERVATION,player_identity_to_player_match_observations,True,Player-match observations require verified player and fixture identity.,PLAYER_IDENTITY_TO_PLAYER_MATCH,CANONICAL_FIXTURE_TO_SOURCE_MATCH,,EXPLICIT_SOURCE_FAMILY_ROUTE,NOT_YET_PROVEN
