source_surface,grain,season,field_name,representative_path,fetch_error
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attFreekickTotal,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attIboxOwnGoal,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attLgCentre,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attObxdLeft,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attObxdRight,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attOneOnOne,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attOpenplay,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attPenGoal,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attPenPost,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attPostHigh,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attPostLeft,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attPostRight,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attSetpiece,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attemptedTackleFoul,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attemptsConcededIbox,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attemptsConcededObox,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,attemptsIbox,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
