field_name,family,field_type,sample_values,status,reason,grain,source_surface
successfulLongPasses,Passing & Territory,,737.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
successfulOpenPlayPasses,Passing & Territory,,19028.0,NEW_SOURCE_CAPABILITY,No exact FRL field match and no safe derivation rule recognised.,team_season_candidate,pulselive_live_api
successfulPassesOppositionHalf,Passing & Territory,,11502.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
successfulPassesOwnHalf,Passing & Territory,,8440.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
successfulShortPasses,Passing & Territory,,19039.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
tackleSuccess,Defending,,61.06,NEW_SOURCE_CAPABILITY,No exact FRL field match and no safe derivation rule recognised.,team_season_candidate,pulselive_live_api
tacklesLost,Defending,,213.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
tacklesWon,Defending,,334.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
touchesInOppBox,Shooting,,1409.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
unsuccessfulCornersIntoBox,Crossing & Set Pieces,,131.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
unsuccessfulCrossesAndCorners,Crossing & Set Pieces,,453.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
unsuccessfulCrossesOpenPlay,Crossing & Set Pieces,,302.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
unsuccessfulDribbles,Dribbling,,415.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
unsuccessfulLaunches,Passing & Territory,,358.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
unsuccessfulLayoffs,Passing & Territory,,26.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
unsuccessfulLongPasses,Passing & Territory,,727.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
unsuccessfulPassesOppositionHalf,Passing & Territory,,2310.0,NEW_SOURCE_CAPABILITY,No exact FRL field match and no safe derivation rule recognised.,team_season_candidate,pulselive_live_api
unsuccessfulPassesOwnHalf,Passing & Territory,,709.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
unsuccessfulShortPasses,Passing & Territory,,1839.0,EXISTING_FIELD,Exact native field name appears in the local FRL variable universe.,team_season_candidate,pulselive_live_api
