field_name,source_surface,resource,grain,player_link,fixture_link,club_link,matrix_class,canonical_attachment,relationship_kind,identity_contract
penaltyWon,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
pl_code,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
playerId,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT_REVIEW,UNMAPPED_REVIEW,UNKNOWN,
playerName,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
position,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,RELATIONSHIP_METADATA_PRESENT,NOT_IN_DIRECT_GRAIN,RELATIONSHIP_METADATA_PRESENT_REVIEW,UNMAPPED_REVIEW,UNKNOWN,
possessionLostCtrl,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
progressiveBallCarriesCount,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
punches,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
rating,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
savedShotsFromInsideTheBox,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
