season,player_code,source_player_id,shots,shots_on_target,shots_off_target,blocked_shots,xgot,touches,hit_woodwork,passes,accurate_passes,accurate_opposition_half_passes,long_balls,accurate_long_balls,successful_crosses,key_passes_rich,big_chances_created_rich,successful_dribbles,unsuccessful_dribbles,ball_carries,progressive_carries,progressive_carry_distance,total_progression,possession_lost,tackles_rich,tackles_won,interceptions_won,clearances,aerial_duels_won,aerial_duels_lost,duels_won,duels_lost,contests_won,blocks,recoveries_rich,errors_leading_to_shot,errors_leading_to_goal,fouls_conceded,fouls_won,penalties_won,penalties_conceded,saves_rich,saves_inside_box,high_claims,keeper_sweeper_actions,accurate_keeper_sweeper_actions,penalties_faced
2016-17,108824,198030,2.0,1.0,,1.0,,134.0,,59.0,45.0,26.0,7.0,4.0,1.0,1.0,,,,,,,,33.0,7.0,6.0,7.0,6.0,3.0,4.0,16.0,16.0,3.0,1.0,18.0,,,6.0,3.0,,1.0,,,,,,
2016-17,109322,205508,37.0,13.0,12.0,12.0,,997.0,2.0,727.0,638.0,485.0,27.0,17.0,7.0,29.0,4.0,,,,,,,184.0,17.0,12.0,14.0,8.0,5.0,15.0,62.0,94.0,21.0,1.0,56.0,,,26.0,19.0,,,,,,,,
2016-17,109528,210082,3.0,1.0,1.0,1.0,,818.0,,423.0,329.0,215.0,31.0,9.0,5.0,4.0,,,,,,,,199.0,31.0,22.0,24.0,50.0,17.0,14.0,74.0,61.0,15.0,5.0,58.0,,,14.0,13.0,,,,,,,,
2016-17,109646,352668,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,11037,19659,2.0,,,2.0,,16.0,,10.0,5.0,4.0,,,,1.0,,,,,,,,6.0,,,1.0,,2.0,1.0,3.0,3.0,1.0,,1.0,,,1.0,,,,,,,,,
2016-17,110979,217704,57.0,24.0,14.0,19.0,,1563.0,2.0,1020.0,791.0,620.0,39.0,23.0,7.0,44.0,4.0,,,,,,,475.0,23.0,15.0,8.0,10.0,42.0,75.0,188.0,249.0,68.0,,151.0,,,32.0,55.0,1.0,1.0,,,,,,
2016-17,111234,138530,0.0,,,,,1294.0,,954.0,441.0,283.0,843.0,332.0,,4.0,2.0,,,,,,,527.0,,,3.0,35.0,11.0,1.0,17.0,1.0,,,354.0,,3.0,,6.0,,,135.0,73.0,42.0,22.0,21.0,2.0
2016-17,111787,209098,15.0,3.0,10.0,2.0,,601.0,,299.0,225.0,196.0,8.0,1.0,18.0,21.0,3.0,,,,,,,213.0,23.0,18.0,6.0,7.0,6.0,27.0,87.0,104.0,24.0,,45.0,,,15.0,36.0,,,,,,,,
2016-17,111847,43247,23.0,6.0,14.0,3.0,,557.0,,321.0,252.0,162.0,6.0,6.0,1.0,13.0,,,,,,,,162.0,25.0,19.0,7.0,7.0,35.0,39.0,98.0,132.0,22.0,2.0,53.0,1.0,,19.0,16.0,,,,,,,,
2016-17,112316,150201,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,112338,138156,45.0,11.0,19.0,15.0,,2097.0,,1659.0,1352.0,771.0,176.0,104.0,4.0,33.0,2.0,,,,,,,409.0,66.0,47.0,32.0,52.0,68.0,57.0,181.0,194.0,21.0,3.0,180.0,1.0,,70.0,30.0,,,,,,,,
2016-17,112507,770477,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,112520,796143,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,11334,1185,0.0,,,,,1228.0,,844.0,472.0,158.0,586.0,217.0,,,,,,,,,,381.0,,,1.0,18.0,5.0,,12.0,2.0,3.0,,321.0,1.0,1.0,3.0,2.0,,2.0,115.0,75.0,28.0,23.0,22.0,9.0
2016-17,113534,225096,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,113564,254713,8.0,,6.0,2.0,,822.0,,435.0,304.0,177.0,79.0,20.0,4.0,7.0,1.0,,,,,,,214.0,24.0,15.0,42.0,59.0,23.0,22.0,63.0,65.0,4.0,4.0,69.0,2.0,,21.0,13.0,,,,,,,,
2016-17,113688,226780,26.0,8.0,12.0,6.0,,477.0,,236.0,164.0,108.0,6.0,5.0,1.0,10.0,1.0,,,,,,,206.0,10.0,9.0,1.0,13.0,26.0,45.0,64.0,122.0,10.0,,27.0,,,17.0,18.0,,,,,,,,
2016-17,114000,789859,2.0,1.0,1.0,,,176.0,,108.0,89.0,60.0,7.0,2.0,1.0,3.0,,,,,,,,47.0,9.0,9.0,4.0,1.0,1.0,1.0,24.0,15.0,6.0,,13.0,,,4.0,8.0,,,,,,,,
2016-17,114093,371366,1.0,1.0,,,,96.0,,73.0,55.0,11.0,15.0,6.0,,1.0,,,,,,,,21.0,2.0,,5.0,11.0,1.0,2.0,3.0,5.0,,1.0,10.0,,,1.0,,,,,,,,,
2016-17,11467,27338,15.0,4.0,8.0,3.0,,1336.0,,703.0,486.0,299.0,89.0,33.0,10.0,29.0,2.0,,,,,,,348.0,55.0,39.0,46.0,94.0,96.0,63.0,173.0,140.0,10.0,16.0,83.0,,,25.0,13.0,,,,,,,,
2016-17,115357,227860,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,11554,631,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,115556,94758,13.0,4.0,2.0,7.0,,1606.0,,1053.0,834.0,541.0,106.0,45.0,19.0,29.0,4.0,,,,,,,346.0,39.0,27.0,11.0,78.0,48.0,43.0,121.0,81.0,8.0,7.0,61.0,,,13.0,26.0,,,,,,,,
2016-17,115854,240256,16.0,4.0,6.0,6.0,,435.0,,192.0,128.0,98.0,16.0,6.0,4.0,11.0,2.0,,,,,,,176.0,12.0,9.0,8.0,6.0,8.0,25.0,66.0,102.0,25.0,2.0,50.0,,,10.0,22.0,1.0,,,,,,,
2016-17,116594,234148,27.0,7.0,10.0,10.0,,2671.0,,2122.0,1884.0,1120.0,175.0,136.0,1.0,23.0,2.0,,,,,,,340.0,127.0,82.0,82.0,41.0,19.0,41.0,197.0,180.0,36.0,4.0,275.0,1.0,,53.0,15.0,,,,,,,,
