file,resource_hints,rows_or_objects,identity_like_columns,column_count
teams\Liverpool_14\players\2025-26_all_players_gw.csv,player_season,1391,fixture_code | player_code | team_code,40
teams\Leeds_2\fixtures\2025-26_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Leeds_2\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Leeds_2\players\2025-26_all_players_gw.csv,player_season,1349,fixture_code | player_code | team_code,40
teams\Ipswich_Town_40\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Hull_City_88\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Fulham_54\fixtures\2025-26_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Fulham_54\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Fulham_54\players\2025-26_all_players_gw.csv,player_season,1134,fixture_code | player_code | team_code,40
teams\Everton_11\fixtures\2025-26_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Everton_11\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Everton_11\players\2025-26_all_players_gw.csv,player_season,1381,fixture_code | player_code | team_code,40
teams\Crystal_Palace_31\fixtures\2025-26_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Crystal_Palace_31\fixtures\2026-27_fixtures.csv,,38,code | id | team_a | team_a_difficulty | team_a_score | team_h | team_h_difficulty | team_h_score,15
teams\Crystal_Palace_31\players\2025-26_all_players_gw.csv,player_season,1572,fixture_code | player_code | team_code,40
