field_name,source_surface,resource,grain,family,player_status,player_reason,fixture_status,fixture_reason,team_club_status,team_club_reason,relationship_contract,identity_route,temporal_route
freekickCross,FRL_LOCAL_CSV,team_match,team_match,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
freekickTotal,FRL_LOCAL_CSV,player_season,player_season,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
fwdPass,FRL_LOCAL_CSV,team_match,team_match,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.cup_qualifying_method,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.cup_start_event_id,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.cup_stop_event_id,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.cup_type,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.element_sell_at_purchase_price,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.featured_entries,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.league_h2h_tiebreak_stats,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.league_join_private_max,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.league_join_public_max,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.league_ko_first_instead_of_random,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.league_max_ko_rounds_private_h2h,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.league_max_size_private_h2h,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.league_max_size_public_classic,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.league_max_size_public_h2h,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.league_points_h2h_draw,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.league_points_h2h_lose,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.league_points_h2h_win,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.league_prefix_public,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.max_extra_free_transfers,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.percentile_ranks,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.squad_special_max,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.squad_special_min,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.squad_squadplay,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.squad_squadsize,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.squad_team_limit,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.squad_total_spend,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.stats_form_days,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.sys_vice_captain_enabled,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.transfers_cap,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.transfers_sell_on_fee,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.ui_currency_multiplier,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.ui_special_shirt_exclusions,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.ui_use_special_shirts,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.rules.underdog_differential,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.assists,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
game_config.scoring.bonus,fpl,bootstrap-static.json,sample_payload,,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,UNCLASSIFIED_STATUS,,,
