season,source_family,source_file_family,source_field,registry_status,presence,source_files
2016-17,team_match,events_stats,fouledFinalThird,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,freekickCross,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,freekickTotal,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,fwdPass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,gameweek,exposed,PRESENT,20
2016-17,team_match,events_stats,goalAssist,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,goalAssistDeadball,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,goalAssistIntentional,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,goalAssistOpenplay,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,goalAssistSetplay,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,goalFastbreak,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,goalKicks,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,goalsAgainst,retained,PRESENT,20
2016-17,team_match,events_stats,goalsFor,retained,PRESENT,20
2016-17,team_match,events_stats,goalsOpenplay,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,goodHighClaim,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,ground,retained,PRESENT,20
2016-17,team_match,events_stats,halfTimeAgainst,retained,PRESENT,20
2016-17,team_match,events_stats,halfTimeFor,retained,PRESENT,20
2016-17,team_match,events_stats,handBall,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,headClearance,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,hitWoodwork,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,interception,exposed,PRESENT,20
2016-17,team_match,events_stats,interceptionWon,exposed,PRESENT,20
2016-17,team_match,events_stats,interceptionsInBox,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,keeperThrows,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,kickoff,exposed,PRESENT,20
2016-17,team_match,events_stats,leftsidePass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,longPassOwnToOpp,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,longPassOwnToOppSuccess,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,lostCorners,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,matchId,exposed,PRESENT,20
2016-17,team_match,events_stats,midfielderGoals,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,offtargetAttAssist,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,ontargetAttAssist,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,ontargetScoringAtt,exposed,PRESENT,20
2016-17,team_match,events_stats,openPlayPass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,opponent,exposed,PRESENT,20
2016-17,team_match,events_stats,opponent_id,exposed,PRESENT,20
2016-17,team_match,events_stats,outfielderBlock,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,overrun,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,ownGoals,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,passesLeft,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,passesRight,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,penAreaEntries,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,penGoalsConceded,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,penaltyConceded,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,penaltyFaced,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,penaltySave,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,penaltyWon,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,possLostAll,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,possLostCtrl,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,possWonAtt3rd,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,possWonDef3rd,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,possWonMid3rd,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,possessionPercentage,exposed,PRESENT,20
2016-17,team_match,events_stats,postScoringAtt,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,ptsDroppedWinningPos,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,ptsGainedLosingPos,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,punches,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,putThrough,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,redCard,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,redCardsAgainst,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,redCardsFor,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,result,retained,PRESENT,20
2016-17,team_match,events_stats,rightsidePass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,savedIbox,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,savedObox,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,saves,exposed,PRESENT,20
2016-17,team_match,events_stats,secondYellow,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,shieldBallOop,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,shotFastbreak,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,shotOffTarget,exposed,PRESENT,20
2016-17,team_match,events_stats,sixYardBlock,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,subsMade,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,successfulFinalThirdPasses,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,successfulOpenPlayPass,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,successfulPutThrough,UNCATALOGUED,PRESENT,20
2016-17,team_match,events_stats,team,exposed,PRESENT,20
