endpoint,field_path,field_name,field_type,sample
player_season_stats,stats.totalUnsuccessfulPassesExclCrossesAndCorners,totalUnsuccessfulPassesExclCrossesAndCorners,float,132.0
player_season_stats,stats.touches,touches,float,778.0
player_season_stats,stats.unsuccessfulCrossesAndCorners,unsuccessfulCrossesAndCorners,float,2.0
player_season_stats,stats.unsuccessfulCrossesOpenPlay,unsuccessfulCrossesOpenPlay,float,2.0
player_season_stats,stats.unsuccessfulDribbles,unsuccessfulDribbles,float,15.0
player_season_stats,stats.unsuccessfulLaunches,unsuccessfulLaunches,float,4.0
player_season_stats,stats.unsuccessfulLayoffs,unsuccessfulLayoffs,float,10.0
player_season_stats,stats.unsuccessfulLongPasses,unsuccessfulLongPasses,float,10.0
player_season_stats,stats.unsuccessfulPassesOwnHalf,unsuccessfulPassesOwnHalf,float,27.0
player_season_stats,stats.unsuccessfulShortPasses,unsuccessfulShortPasses,float,122.0
player_season_stats,stats.winningGoal,winningGoal,float,10.0
player_season_stats,stats.yellowCards,yellowCards,float,2.0
player_leaderboard,data,data,list,"[{'playerMetadata': {'currentTeam': {'name': 'Manchester City', 'id': '43', 'shortName': 'Man City'}, 'firstName': 'Erling', 'lastName': 'Haaland', 'country': {'isoCode': 'NO', 'country': 'Norway', 'd"
player_leaderboard,data[].playerMetadata,playerMetadata,dict,"{'currentTeam': {'name': 'Manchester City', 'id': '43', 'shortName': 'Man City'}, 'firstName': 'Erling', 'lastName': 'Haaland', 'country': {'isoCode': 'NO', 'country': 'Norway', 'demonym': 'Norwegian'"
player_leaderboard,data[].playerMetadata.country,country,dict,"{'isoCode': 'NO', 'country': 'Norway', 'demonym': 'Norwegian'}"
player_leaderboard,data[].playerMetadata.country.country,country,str,'Norway'
player_leaderboard,data[].playerMetadata.country.demonym,demonym,str,'Norwegian'
player_leaderboard,data[].playerMetadata.country.isoCode,isoCode,str,'NO'
player_leaderboard,data[].playerMetadata.currentTeam,currentTeam,dict,"{'name': 'Manchester City', 'id': '43', 'shortName': 'Man City'}"
player_leaderboard,data[].playerMetadata.currentTeam.id,id,str,'43'
player_leaderboard,data[].playerMetadata.currentTeam.name,name,str,'Manchester City'
player_leaderboard,data[].playerMetadata.currentTeam.shortName,shortName,str,'Man City'
player_leaderboard,data[].playerMetadata.firstName,firstName,str,'Erling'
player_leaderboard,data[].playerMetadata.id,id,str,'223094'
player_leaderboard,data[].playerMetadata.lastName,lastName,str,'Haaland'
player_leaderboard,data[].playerMetadata.name,name,str,'Erling Haaland'
player_leaderboard,data[].playerMetadata.position,position,str,'Forward'
player_leaderboard,data[].stats,stats,dict,"{'duelsLost': 111.0, 'successfulCrossesOpenPlay': 1.0, 'totalRedCards': 0.0, 'blockedShots': 24.0, 'shotsOnTargetIncGoals': 59.0, 'overruns': 2.0, 'totalTackles': 15.0, 'totalShots': 102.0, 'throughBa"
player_leaderboard,data[].stats.aerialDuels,aerialDuels,float,118.0
player_leaderboard,data[].stats.aerialDuelsLost,aerialDuelsLost,float,45.0
player_leaderboard,data[].stats.aerialDuelsWon,aerialDuelsWon,float,73.0
player_leaderboard,data[].stats.appearances,appearances,float,35.0
player_leaderboard,data[].stats.awayGoals,awayGoals,float,12.0
player_leaderboard,data[].stats.backwardPasses,backwardPasses,float,88.0
player_leaderboard,data[].stats.blockedShots,blockedShots,float,24.0
player_leaderboard,data[].stats.blocks,blocks,float,1.0
player_leaderboard,data[].stats.cleanSheets,cleanSheets,float,8.0
player_leaderboard,data[].stats.cornersWon,cornersWon,float,23.0
player_leaderboard,data[].stats.duels,duels,float,241.0
player_leaderboard,data[].stats.duelsLost,duelsLost,float,111.0
player_leaderboard,data[].stats.duelsWon,duelsWon,float,130.0
player_leaderboard,data[].stats.forwardPasses,forwardPasses,float,75.0
player_leaderboard,data[].stats.foulAttemptedTackle,foulAttemptedTackle,float,2.0
player_leaderboard,data[].stats.gamesPlayed,gamesPlayed,float,35.0
player_leaderboard,data[].stats.goalAssists,goalAssists,float,8.0
player_leaderboard,data[].stats.goals,goals,float,27.0
player_leaderboard,data[].stats.goalsConceded,goalsConceded,float,32.0
player_leaderboard,data[].stats.goalsConcededInsideBox,goalsConcededInsideBox,float,25.0
player_leaderboard,data[].stats.goalsConcededOutsideBox,goalsConcededOutsideBox,float,7.0
player_leaderboard,data[].stats.groundDuels,groundDuels,float,123.0
player_leaderboard,data[].stats.groundDuelsLost,groundDuelsLost,float,66.0
player_leaderboard,data[].stats.groundDuelsWon,groundDuelsWon,float,57.0
player_leaderboard,data[].stats.headedGoals,headedGoals,float,3.0
player_leaderboard,data[].stats.hitWoodwork,hitWoodwork,float,6.0
player_leaderboard,data[].stats.homeGoals,homeGoals,float,15.0
player_leaderboard,data[].stats.interceptions,interceptions,float,5.0
player_leaderboard,data[].stats.keyPassesAttemptAssists,keyPassesAttemptAssists,float,17.0
player_leaderboard,data[].stats.leftFootGoals,leftFootGoals,float,21.0
player_leaderboard,data[].stats.leftsidePasses,leftsidePasses,float,125.0
player_leaderboard,data[].stats.offsides,offsides,float,5.0
player_leaderboard,data[].stats.openPlayPasses,openPlayPasses,float,369.0
player_leaderboard,data[].stats.overruns,overruns,float,2.0
player_leaderboard,data[].stats.penaltiesTaken,penaltiesTaken,float,4.0
player_leaderboard,data[].stats.penaltyGoals,penaltyGoals,float,3.0
player_leaderboard,data[].stats.penaltyGoalsConceded,penaltyGoalsConceded,float,1.0
player_leaderboard,data[].stats.putthroughBlockedDistribution,putthroughBlockedDistribution,float,14.0
player_leaderboard,data[].stats.putthroughBlockedDistributionWon,putthroughBlockedDistributionWon,float,3.0
player_leaderboard,data[].stats.recoveries,recoveries,float,41.0
player_leaderboard,data[].stats.rightFootGoals,rightFootGoals,float,3.0
player_leaderboard,data[].stats.rightsidePasses,rightsidePasses,float,96.0
player_leaderboard,data[].stats.shotsOffTargetIncWoodwork,shotsOffTargetIncWoodwork,float,43.0
player_leaderboard,data[].stats.shotsOnTargetIncGoals,shotsOnTargetIncGoals,float,59.0
player_leaderboard,data[].stats.starts,starts,float,34.0
player_leaderboard,data[].stats.straightRedCards,straightRedCards,float,0.0
player_leaderboard,data[].stats.substituteOff,substituteOff,float,8.0
player_leaderboard,data[].stats.substituteOn,substituteOn,float,1.0
player_leaderboard,data[].stats.successfulCrossesAndCorners,successfulCrossesAndCorners,float,1.0
player_leaderboard,data[].stats.successfulCrossesOpenPlay,successfulCrossesOpenPlay,float,1.0
player_leaderboard,data[].stats.successfulDribbles,successfulDribbles,float,17.0
