field_name,source_surface,grain,resource,source_identity_required,relationship_note
playerId,FRL_LOCAL_CSV,player_match,player_match,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].defensive_contribution_per_90,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].direct_freekicks_order,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].direct_freekicks_text,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].dreamteam_count,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].element_type,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].ep_next,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].ep_this,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].event_points,fpl,player_match,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].expected_assists,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].expected_assists_per_90,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].expected_goal_involvements,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].expected_goal_involvements_per_90,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].expected_goals,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].expected_goals_conceded,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].expected_goals_conceded_per_90,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].expected_goals_per_90,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].first_name,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].form,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].form_rank,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].form_rank_type,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].goals_conceded,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].goals_conceded_per_90,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].goals_scored,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].has_temporary_code,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].ict_index,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].ict_index_rank,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].ict_index_rank_type,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].in_dreamteam,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].influence,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
